state,month,forecast,lower,upper,pressure,confidence_flag
Nagaland,2026-03-01,-420.59,-1997.11,1128.94,Declining,LOW
Odisha,2026-01-01,13762.9,-768.57,28953.47,High Demand,LOW
Odisha,2026-02-01,-45059.55,-60607.78,-30065.96,Declining,LOW
Odisha,2026-03-01,-44996.73,-59727.64,-29139.96,Declining,LOW
Puducherry,2026-01-01,12131.18,7847.86,16132.88,High Demand,LOW
Puducherry,2026-02-01,1029.23,-3100.81,5029.32,High Demand,LOW
Puducherry,2026-03-01,1109.14,-3246.19,4850.04,High Demand,LOW
Punjab,2026-01-01,-77385.58,-89026.47,-65008.62,Declining,LOW
Punjab,2026-02-01,-123428.96,-135246.33,-111781.36,Declining,LOW
Punjab,2026-03-01,-123812.94,-135699.02,-111431.33,Declining,LOW
Rajasthan,2026-01-01,-29543.64,-46147.39,-13159.41,Declining,LOW
Rajasthan,2026-02-01,-84259.36,-100320.59,-67384.17,Declining,LOW
Rajasthan,2026-03-01,-83985.38,-100532.04,-67106.97,Declining,LOW
Sikkim,2026-01-01,3671.25,2712.99,4722.62,High Demand,LOW
Sikkim,2026-02-01,327.24,-630.19,1268.94,High Demand,LOW
Sikkim,2026-03-01,361.73,-543.08,1402.6,High Demand,LOW
Tamil Nadu,2026-01-01,10261.71,-9277.63,27446.39,High Demand,LOW
Tamil Nadu,2026-02-01,-60271.29,-77717.63,-41484.65,Declining,LOW
Tamil Nadu,2026-03-01,-60501.04,-78551.11,-41278.27,Declining,LOW
Telangana,2026-01-01,-15847.37,-32830.82,1326.73,Declining,LOW
Telangana,2026-02-01,-45660.32,-62341.65,-28168.27,Declining,LOW
Telangana,2026-03-01,-45863.5,-63865.37,-29649.35,Declining,LOW
Tripura,2026-01-01,26970.37,19841.11,34070.97,High Demand,LOW
Tripura,2026-02-01,1283.53,-5780.72,8070.66,High Demand,LOW
Tripura,2026-03-01,1596.26,-4826.0,8353.47,High Demand,LOW
Uttar Pradesh,2026-01-01,-96464.24,-109800.93,-83462.35,Declining,LOW
Uttar Pradesh,2026-02-01,-169882.77,-182703.08,-156852.95,Declining,LOW
Uttar Pradesh,2026-03-01,-170550.39,-183425.59,-158073.69,Declining,LOW
Uttarakhand,2026-01-01,9549.46,2042.23,16792.94,High Demand,LOW
Uttarakhand,2026-02-01,-16613.23,-23969.3,-9039.1,Declining,LOW
Uttarakhand,2026-03-01,-16913.54,-24341.13,-9421.76,Declining,LOW
West Bengal,2026-01-01,112743.1,56163.69,165964.01,High Demand,LOW
West Bengal,2026-02-01,-1918.62,-55568.02,55533.42,Declining,LOW
West Bengal,2026-03-01,-1975.45,-56108.59,55122.86,Declining,LOW
